x,throuput,max
1,221651.7384,221651.7384
2,226699.11,226699.11
3,189601.9069,226699.11
4,226699.11,226699.11
5,214523.1016,226699.11
6,164032.6655,226699.11
7,191625.6722,226699.11
8,218137.019,226699.11
9,226699.11,226699.11
10,226699.11,226699.11
11,211370.4789,226699.11
12,176253.3182,226699.11
13,176399.8689,226699.11
14,226699.11,226699.11
15,167415.8802,226699.11
16,195672.6579,226699.11
17,220594.0125,226699.11
18,185516.8165,226699.11
19,211517.7698,226699.11
20,215599.1935,226699.11
21,226699.11,226699.11
22,223221.5663,226699.11
23,197131.3839,226699.11
24,226699.11,226699.11
25,206467.6669,226699.11
26,170618.1292,226699.11
27,200483.5361,226699.11
28,197127.2226,226699.11
29,226699.11,226699.11
30,163238.917,226699.11
31,226699.11,226699.11
32,192126.6695,226699.11
33,164558.7954,226699.11
34,226699.11,226699.11
35,164202.2188,226699.11
36,223881.5069,226699.11
37,189904.3691,226699.11
38,202249.0531,226699.11
39,226699.11,226699.11
40,163995.1168,226699.11
41,226699.11,226699.11
42,226699.11,226699.11
43,163589.7108,226699.11
44,226699.11,226699.11
45,226699.11,226699.11
46,200537.7724,226699.11
47,225005.6893,226699.11
48,185350.0756,226699.11
49,156659.1484,226699.11
50,187838.5532,226699.11
51,191229.4445,226699.11
52,186246.1262,226699.11
53,205255.8641,226699.11
54,226699.11,226699.11
55,226699.11,226699.11
56,217798.8846,226699.11
57,225803.3825,226699.11
58,186302.9996,226699.11
59,222578.0697,226699.11
60,163555.9592,226699.11
61,226699.11,226699.11
62,226699.11,226699.11
63,193252.1249,226699.11
64,221001.634,226699.11
65,169831.5177,226699.11
66,226699.11,226699.11
67,226699.11,226699.11
68,226699.11,226699.11
69,226699.11,226699.11
70,179923.8132,226699.11
71,207564.5149,226699.11
72,226699.11,226699.11
73,189031.4475,226699.11
74,226699.11,226699.11
75,156910.4502,226699.11
76,177717.4738,226699.11
77,217824.4427,226699.11
78,226699.11,226699.11
79,226699.11,226699.11
80,192537.8217,226699.11
81,191839.1789,226699.11
82,194205.8696,226699.11
83,166863.7957,226699.11
84,191832.746,226699.11
85,173924.2572,226699.11
86,215391.8649,226699.11
87,184971.7355,226699.11
88,164415.668,226699.11
89,188162.2919,226699.11
90,213063.3401,226699.11
91,158458.6539,226699.11
92,154367.0739,226699.11
93,224707.5771,226699.11
94,161613.9591,226699.11
95,226699.11,226699.11
96,193203.0876,226699.11
97,183904.1951,226699.11
98,162954.8974,226699.11
99,210456.7599,226699.11
100,198831.0442,226699.11
101,226699.11,226699.11
102,226699.11,226699.11
103,169478.8412,226699.11
104,173877.9616,226699.11
105,171194.4332,226699.11
106,226699.11,226699.11
107,159933.4405,226699.11
108,207837.2365,226699.11
109,186155.458,226699.11
110,224127.4301,226699.11
111,226699.11,226699.11
112,228989,228989
113,175311.0299,228989
114,163220.3065,228989
115,226699.11,228989
116,226699.11,228989
117,216866.6129,228989
118,162855.9399,228989
119,205277.0614,228989
120,226699.11,228989
