Pattern,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,AUC_mean,AUC_std,Support,TP,FP,FN
behavior,0.0087,0.0174,0.0667,0.1333,0.0154,0.0308,0.5332,0.0667,1,0.2,19.0,1.0
control,0.0317,0.0108,0.2083,0.0507,0.055,0.0179,0.6025,0.0253,28,6.0,182.0,22.0
default,0.0219,0.0132,0.3667,0.2449,0.0409,0.0249,0.6829,0.1225,3,1.0,45.0,2.0
overwrite,0.35,0.3,0.1567,0.1348,0.2161,0.1856,0.5783,0.0674,6,1.0,1.0,5.0
value,0.0261,0.0127,0.2478,0.076,0.047,0.0221,0.6222,0.038,19,5.0,186.0,14.0
