x,y_random,y_max
1,162881.76665396543,162881.76665396543
2,239504.4735415288,239504.4735415288
3,180129.75431218662,239504.4735415288
4,167568.61266070371,239504.4735415288
5,189885.8484968127,239504.4735415288
6,161203.88478222076,239504.4735415288
7,229198.39414842345,239504.4735415288
8,241768.88999999998,241768.88999999998
9,241768.88999999998,241768.88999999998
10,225005.85352862265,241768.88999999998
11,176549.26029436674,241768.88999999998
12,215004.47189696966,241768.88999999998
13,214604.1693523751,241768.88999999998
14,178644.9122644556,241768.88999999998
15,164751.07994595228,241768.88999999998
16,209305.16408446658,241768.88999999998
17,169182.15682648332,241768.88999999998
18,213117.94456993398,241768.88999999998
19,196299.99638331187,241768.88999999998
20,231085.95477917176,241768.88999999998
21,194674.57557156694,241768.88999999998
22,241768.88999999998,241768.88999999998
23,241364.08485582878,241768.88999999998
24,221816.52011762228,241768.88999999998
25,222647.46246367873,241768.88999999998
26,225851.70362853704,241768.88999999998
27,182617.0784806615,241768.88999999998
28,238223.7765754995,241768.88999999998
29,184735.14585110958,241768.88999999998
30,233515.91899574958,241768.88999999998
31,159101.309294338,241768.88999999998
32,231262.71213577356,241768.88999999998
33,215367.0155349069,241768.88999999998
34,215558.49801945267,241768.88999999998
35,191626.9976661747,241768.88999999998
36,171549.3031769202,241768.88999999998
37,214185.4133434819,241768.88999999998
38,157598.4771709561,241768.88999999998
39,241768.88999999998,241768.88999999998
40,233711.1263783651,241768.88999999998
41,156720.88502032636,241768.88999999998
42,160457.76334648064,241768.88999999998
43,152816.15097100232,241768.88999999998
44,241768.88999999998,241768.88999999998
45,220824.80070035474,241768.88999999998
46,172371.94608517116,241768.88999999998
47,193687.66461497446,241768.88999999998
48,241768.88999999998,241768.88999999998
49,203601.74630861622,241768.88999999998
50,241768.88999999998,241768.88999999998
51,167283.24292288712,241768.88999999998
52,234243.0406556225,241768.88999999998
53,241768.88999999998,241768.88999999998
54,241768.88999999998,241768.88999999998
55,241768.88999999998,241768.88999999998
56,229290.39961170405,241768.88999999998
57,241768.88999999998,241768.88999999998
58,212141.47031471645,241768.88999999998
59,203447.77223707782,241768.88999999998
60,155232.8409926011,241768.88999999998
61,241768.88999999998,241768.88999999998
62,172694.0366259912,241768.88999999998
63,235701.68403140843,241768.88999999998
64,241768.88999999998,241768.88999999998
65,241768.88999999998,241768.88999999998
66,241768.88999999998,241768.88999999998
67,219793.17343605595,241768.88999999998
68,193350.66295388172,241768.88999999998
69,170650.87978792205,241768.88999999998
70,202442.24668415356,241768.88999999998
71,239381.73294785706,241768.88999999998
72,202680.30263598534,241768.88999999998
73,166690.27297828178,241768.88999999998
74,172637.87855542003,241768.88999999998
75,241768.88999999998,241768.88999999998
76,182659.60775766603,241768.88999999998
77,241768.88999999998,241768.88999999998
78,170550.42687483426,241768.88999999998
79,241768.88999999998,241768.88999999998
80,197819.27945095068,241768.88999999998
81,226970.5708857904,241768.88999999998
82,233672.53350642262,241768.88999999998
83,197909.36475060295,241768.88999999998
84,241768.88999999998,241768.88999999998
85,157846.5513555601,241768.88999999998
86,208790.84463150843,241768.88999999998
87,180441.53286250524,241768.88999999998
88,191851.21861511082,241768.88999999998
89,237153.60409964703,241768.88999999998
90,193315.77080940682,241768.88999999998
91,224438.02184738894,241768.88999999998
92,241768.88999999998,241768.88999999998
93,200359.23790370644,241768.88999999998
94,158926.17637618884,241768.88999999998
95,160694.47816360026,241768.88999999998
96,175388.22616539773,241768.88999999998
97,184814.9121871969,241768.88999999998
98,195660.75910988013,241768.88999999998
99,241768.88999999998,241768.88999999998
100,161097.2370207703,241768.88999999998
101,241768.88999999998,241768.88999999998
102,244211.0,244211.0
103,190076.23302688866,244211.0
104,229620.30885304997,244211.0
105,241768.88999999998,244211.0
106,241768.88999999998,244211.0
107,228963.67415145168,244211.0
108,241768.88999999998,244211.0
109,191745.8019463453,244211.0
110,224544.6287002655,244211.0
111,173382.5969185067,244211.0
112,191829.71118878675,244211.0
113,241768.88999999998,244211.0
114,238394.06839688716,244211.0
115,241768.88999999998,244211.0
116,168018.71834082145,244211.0
117,153351.27347423162,244211.0
118,241768.88999999998,244211.0
119,233812.54161800162,244211.0
120,241768.88999999998,244211.0
